MZ4,WT_1,WT_2,WT_3,S72G_1,S72G_2,S72G_3,E314S_1,E314S_2,E314S_3,S7P_1,S7P_2,S7P_3,T49D_1,T49D_2,T49D_3,K301H_1,K301H_2,K301H_3,71D_1,71D_2,71D_3
10,0,0.043140638,0.055897149,0.050942435,0.111234705,0.06006006,0,0.054318305,0,0.050276521,0,0,0.043725404,0.04415011,0,1.078515962,1.480541455,1.135029354,0.155520995,0.071633238,0.11820331
2,0,0.062972292,0.117924528,0.117027501,0.256739409,0.305966344,0.054054054,0.333518621,0.351699883,0,0.17833259,0.041753653,0.08291874,0.129477773,0.151400454,2.032176122,2.100673801,1.968864469,0.043365134,0.04180602,0.225733634
0.4,0.451875282,0.842992624,0.555555556,0.681959082,1.218940459,0.940228341,0.942872989,0.824014126,0.777076251,0.090702948,0.146627566,0.073529412,0.732869183,0.575815739,0.741710297,3.137039075,3.039513678,2.757158006,0.897263347,0.827586207,1.405810684
0.08,2.456705598,1.757719715,1.528905877,2.773575391,1.789587852,1.633663366,2.134471718,2.284527518,1.762744164,0.211327134,0.499064255,0.394166338,2.0696792,1.958910655,1.908752328,3.595505618,3.548966757,4.095163807,2.120535714,1.626794258,1.989683125
0.016,3.290529695,3.306939916,3.831084023,3.784946237,3.865979381,3.875638842,3.142857143,3.190990145,3.935926773,1.066260472,1.69332079,0.924758302,3.184230478,3.703703704,3.196721311,4.870892019,3.588907015,5.453618756,4.285714286,3.611927761,3.461249059
0.0032,4.66893039,3.963414634,4.489164087,3.579839849,4.554170662,4.5884579,4.809052334,3.761574074,4.133395961,2.252036416,3.130755064,2.120609675,3.741231489,5.468418822,4.329371817,4.628501827,5.056840455,4.262295082,4.850894632,4.328189688,4.231205138
0.00064,5.521472393,5.020352782,6.173399909,4.464738711,5.27790752,4.90430622,4.259259259,5.100182149,5.665591893,3.065752319,2.775636083,3.233657858,4.273858921,5.992844365,7.065750736,4.210526316,4.230609706,5.13013957,5.990602976,4.954954955,5.004874878
0.000128,4.469936709,5.713020372,6.008230453,3.966346154,4.7067613,5.560064935,5.746140652,4.706390328,5.805805806,3.688141923,3.854625551,3.588785047,5.373134328,5.177111717,5.698835275,5.224187577,4.873217116,4.873580066,5.249343832,4.614714845,6.379928315
0.0000256,4.935409076,7.297551789,5.668684645,5.600358423,5.793553652,5.876777251,4.696499778,5.802469136,4.409911802,3.398058252,4.2,3.842086711,5.535055351,6.663493574,5.079100749,4.736842105,5.579738821,5.46875,5.498563808,5.511811024,5.76776165
no_ab,5.451448041,6.763469622,6.215139442,6.156338599,5.856573705,5.182804339,5.541433655,5.938448201,4.611379695,3.512084592,4.165074513,3.938814532,5.952873088,5.049088359,6.304728546,5.943152455,5,5.923616524,5.429250085,5.812619503,5.772811918
